Titolo,Piattaforma,Genere,Data di uscita,Produttore,Sviluppatore,Età consigliata,Link
Universe Sandbox,PC,Party Game,29 aprile 2011,,Giant Army,,
No Man's Sky,PC,Azione/Avventura,12 agosto 2016,Hello Games,Hello Games,7+,https://store.steampowered.com/app/275850/No_Mans_Sky/
Minecraft,PC,Azione/Avventura,18 novembre 2011,Mojang Specifications,Mojang,7+,http://t.co/nyWkSGba
Undertale,PC,Gioco di ruolo,15 settembre 2015,tobyfox,tobyfox,,http://store.steampowered.com/app/391540/Undertale/
Dragon Ball Z: Kakarot,PC,Gioco di ruolo,17 gennaio 2020,BANDAI NAMCO Entertainment,CyberConnect2,12+,https://store.steampowered.com/app/851850/DRAGON_BALL_Z_KAKAROT/
The Secret of Monkey Island,PC,Avventura,1990,,Lucasfilm Games,,
Grim Fandango,PC,Avventura,30 settembre 1998,LucasArts,LucasArts Entertainment,,
TANK! TANK! TANK!,Wii U,Gioco d'azione,30 novembre 2012,NAMCO BANDAI GAMES Europe S.A.S.,Namco Bandai Games,7+,https://www.nintendo.it/Giochi/Wii-U/TANK-TANK-TANK--698075.html
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,Azione/Avventura,26 marzo 2004,Ubisoft,Ubisoft Shanghai,,
Crash Twinsanity,Xbox,Platform,8 ottobre 2004,VU Games,Traveller's Tales,,
LIMBO,PC,Platform,2 agosto 2011,Playdead,Playdead,,http://store.steampowered.com/app/48000/LIMBO/
Portal,PC,Puzzle,10 ottobre 2007,Valve,Valve,,https://store.steampowered.com/app/400/Portal/
The Hobbit,PC,Azione/Avventura,28 novembre 2003,Sierra Entertainment,Inevitable Entertainment,,
Dark Souls,PC,Gioco di ruolo,24 agosto 2012,Namco Bandai,From Software,16+,
Il Padrino (The Godfather),PC,Azione/Avventura,24 marzo 2006,Electronic Arts,Headgate,,
Little Inferno,PC,Puzzle,19 novembre 2012,,Tomorrow Corporation,,http://store.steampowered.com/app/221260/Little_Inferno/?snr=1_7_7_151_150_1
Cars,PC,Gioco di guida,14 luglio 2006,THQ,Beenox,,
Poker Night at The Inventory,PC,Gestionale,30 novembre 2010,Telltale Games,Telltale Games,,
Rayman Legends,Wii U,Platform,29 agosto 2013,Ubisoft,Ubisoft Montpellier,7+,https://www.nintendo.it/Giochi/Wii-U/Rayman-Legends-592895.html
Kirby and the Rainbow Paintbrush,Wii U,Platform,8 maggio 2015,Nintendo,Nintendo,3+,https://www.nintendo.it/Giochi/Wii-U/Kirby-e-il-pennello-arcobaleno-893013.html
Il professor Layton e il richiamo dello spettro,DS,Avventura,25 novembre 2011,Nintendo,Level-5,7+,
Tetris DS,DS,Puzzle,21 aprile 2006,THQ,Blue Planet Software,3+,
FIFA 08,DS,Gioco di calcio,27 settembre 2007,Electronic Arts,EA Sports,3+,
Nintendogs,DS,Gestionale,16 giugno 2006,Nintendo,Nintendo,3+,
WALL-E,DS,Gioco d'azione,10 ottobre 2008,THQ,Heavy Iron Studios,3+,
Brain Training del Dr. Kawashima: Quanti Anni ha il tuo Cervello?,DS,Puzzle,9 giugno 2006,Nintendo,Nintendo,3+,
Wii Fit,Wii,Gioco sportivo,24 aprile 2008,Nintendo,Nintendo,,
Wii Sports,Wii,Gioco sportivo,7 dicembre 2006,Nintendo,Nintendo,7+,
Super Mario Galaxy 2,Wii,Platform,11 giugno 2010,Nintendo,Nintendo,,
Super Mario Galaxy,Wii,Platform,16 novembre 2007,Nintendo,Nintendo,3+,
Peter Jackson's King Kong: The Official Game of the Movie,PC,Azione/Avventura,17 novembre 2005,Ubisoft,Ubisoft Montpellier,,
Dark Messiah of Might and Magic,PC,Azione/Avventura,27 ottobre 2006,Ubisoft,Arkane Studios,18+,
Super Mario 64 DS,DS,Platform,11 marzo 2005,Nintendo,NCL,12+,https://www.nintendo.it/Giochi/Nintendo-DS/Super-Mario-64-DS-273179.html
Diabolik: The Original Sin,PC,Azione/Avventura,21 settembre 2007,Black Bean,Artematica,,
El Matador,PC,Sparatutto in 3a persona,8 settembre 2006,Cenega Publishing,Plastic Reality,,
Mario Kart DS,DS,Gioco di guida,25 novembre 2005,Nintendo,NCL,,
Mario Kart Wii,Wii,Gioco di guida,11 aprile 2008,Nintendo,Nintendo,,
Wario: Master of Disguise,DS,Gioco d'azione,30 maggio 2007,Nintendo,Suzak,7+,
Mario Party DS,DS,Party Game,23 novembre 2007,Nintendo,Hudson Soft,,
New Super Mario Bros. Wii,Wii,Platform,20 novembre 2009,Nintendo,Nintendo,,
Etrom: The Astral Essence,PC,Gioco di ruolo,20 luglio 2006,Wild Hare Entertainment,PM Studios Inc.,,
New Super Luigi U,Wii U,Platform,26 luglio 2013,Nintendo,Nintendo,3+,https://www.nintendo.it/Giochi/Wii-U/New-Super-Luigi-U-764675.html
New Super Mario Bros.,DS,Platform,30 giugno 2006,Nintendo,Nintendo,12+,https://www.nintendo.it/Giochi/Nintendo-DS/New-Super-Mario-Bros--271969.html
New Super Mario Bros.,Wii U,Platform,17 dicembre 2015,Nintendo,Nintendo,12+,https://www.nintendo.it/Giochi/Nintendo-DS/New-Super-Mario-Bros--271969.html
Scribblenauts Unmasked: A DC Comics Adventure,PC,Platform,24 settembre 2013,Warner Bros. Interactive Entertainment,5TH Cell,12+,http://store.steampowered.com/app/249870/Scribblenauts_Unmasked_A_DC_Comics_Adventure/
Scribblenauts Unlimited,PC,Platform,15 febbraio 2013,Warner Bros. Interactive Entertainment,5TH Cell,,http://store.steampowered.com/app/218680/?l=italian
DuckTales Remastered,PC,Platform,13 agosto 2013,Capcom,WayForward Technologies,,
The Stanley Parable,PC,Gioco d'azione,17 ottobre 2013,Galactic Cafe,Davey Wreden,,
Team Fortress 2,PC,Sparatutto in 1a persona,19 ottobre 2007,Valve Software,Valve Software,16+,http://store.steampowered.com/app/440/
Harry Potter and the Prisoner of Azkaban,PC,Azione/Avventura,29 maggio 2004,EA Games,KnowWonder,,
Delta Force 2,PC,Sparatutto in 1a persona,25 febbraio 2000,,NovaLogic,,
Mario & Sonic at the Olympic Games,DS,Gioco sportivo,8 febbraio 2008,Sega,Sega,,
Disney's Donald Duck: Goin' Quackers,GameCube,Platform,3 maggio 2002,Ubisoft,Ubisoft Montreal,,
Sacred 2: Gold Edition,PC,,5 marzo 2010,Deep Silver,Ascaron Entertainment GmbH,,
Sacred 3,PC,Gioco di ruolo,1 agosto 2014,,Deep Silver,16+,
Sacred,PC,Gioco di ruolo,25 giugno 2004,FX Interactive,Ascaron,12+,
Super Mario 3D World,Wii U,Platform,29 novembre 2013,Nintendo,Nintendo,3+,https://www.nintendo.it/Giochi/Wii-U/SUPER-MARIO-3D-WORLD-765385.html
VVVVVV,PC,Platform,8 settembre 2010,Terry Cavanagh,Terry Cavanagh,,http://store.steampowered.com/app/70300/
To the Moon,PC,Avventura,1 novembre 2011,Freebird Games,Freebird Games,,https://store.steampowered.com/app/206440/To_the_Moon/
Captain Toad: Treasure Tracker,Wii U,Platform,9 gennaio 2015,Nintendo,Nintendo,3+,https://www.nintendo.it/Giochi/Wii-U/Captain-Toad-Treasure-Tracker-892923.html
Black Mirror I,PC,Avventura,24 settembre 2004,Power Up Publishing,Future Games,,
